zotero_key,identity,title
3XNN8FDC,doi:10.1038/s41586-021-03258-z,De novo design of modular and tunable protein biosensors
5YMNQYLP,doi:10.1038/s41586-025-09746-w,Computational design of metallohydrolases
6AMWYASG,doi:10.1126/science.add1964,Hallucinating symmetric protein assemblies
7A5LLYTB,doi:10.1038/s41467-024-50919-4,De novo design of miniprotein antagonists of cytokine storm inducers.
7NMRP9NV,doi:10.1073/pnas.2207974120,De novo design of small beta barrel proteins
7ZWIR5Q2,doi:10.1021/jacs.3c02742,Design of Heme Enzymes with a Tunable Substrate Binding Pocket Adjacent to an Open Metal Coordination Site
97UCM36D,doi:10.1002/prot.25390,Protein structure prediction using Rosetta in CASP12
9KM5L4RJ,doi:10.1021/acschembio.3c00113,Macrocyclic Octapeptide Binding and Inferences on Protein Substrate Binding to Histone Deacetylase 6.
9W6B3G5T,doi:10.1111/febs.14394,Structures and disulfide cross-linking of de novo designed therapeutic mini-proteins
A69BGAHS,doi:10.1002/pro.4780,Zero-shot mutation effect prediction on protein stability and function using RoseTTAFold
AI9C84WR,doi:10.1038/s42003-025-09499-2,The computationally designed TRI2-2 miniprotein inhibitor protects against multiple SARS-CoV-2 Omicron variants.
B38LDPL2,doi:10.1038/s41586-024-07813-2,De novo design of allosterically switchable protein assemblies.
BASTEFDC,doi:10.1126/science.adu2454,Computational design of serine hydrolases
BI577JB6,doi:10.1101/2024.06.15.590358,De novo design of alpha-beta repeat proteins.
BPJXRINT,doi:10.1126/science.aba6527,Designed protein logic to target cells with precise combinations of surface antigens
C2CJBNHP,doi:10.1126/science.aay2790,De novo design of protein logic gates
CAEGGAME,doi:10.1073/pnas.2425459122,Parametrically guided design of beta barrels and transmembrane nanopores using deep learning
CVJHB55E,doi:10.1021/acs.jmedchem.4c01542,Discovery of a Novel Selective and Cell-Active N6-Methyladenosine RNA Demethylase ALKBH5 Inhibitor.
DDPPDQ4W,doi:10.1073/pnas.2008535117,Tight and specific lanthanide binding in a de novo TIM barrel with a large internal cavity designed by symmetric domain fusion
DKY2IC9H,doi:10.1101/2020.07.18.206946,De novo design of modular and tunable allosteric biosensors.
DYGMNPTT,doi:10.1038/s41587-024-02395-w,Multistate and functional protein design using RoseTTAFold sequence space diffusion.
DZVSTT3I,doi:10.1038/s41586-018-0509-0,De novo design of a fluorescence-activating β-barrel
EZFM4RCV,doi:10.1101/2024.09.20.613980,Nucleation limited assembly and polarized growth of a de novo-designed allosterically modulatable protein filament.
F43H8X24,doi:10.1126/science.abd9909,De novo design of picomolar SARS-CoV-2 miniprotein inhibitors
F87YI6DZ,doi:10.1073/pnas.2427161122,Modeling protein-small molecule conformational ensembles with PLACER
FI8D9MKS,doi:10.1126/science.aaq1739,Accurate computational design of multipass transmembrane proteins
FKATXICR,doi:10.1038/s41587-024-02456-0,Publisher Correction: Multistate and functional protein design using RoseTTAFold sequence space diffusion.
FLLT82BS,doi:10.1073/pnas.1908768117,Modular repeat protein sculpting using rigid helical junctions
FTZURN9B,doi:10.1126/sciadv.ado3501,"Delocalized quinolinium-macrocyclic peptides, an atypical chemotype for CNS penetration."
G2JHB235,doi:10.1021/jacs.5c05004,De Novo Design of High-Performance Cortisol Luminescent Biosensors.
G3ZPIC86,doi:10.1038/s41587-022-01280-8,Thermodynamically coupled biosensors for detecting neutralizing antibodies against SARS-CoV-2 variants
HEM5K5CG,doi:10.1038/s41594-025-01669-4,Computational design of sequence-specific DNA-binding proteins
HHFRPJZX,doi:10.1101/2025.03.23.644666,De novo design of miniprotein agonists and antagonists targeting G protein-coupled receptors.
HKI6AZTW,doi:10.1038/s41467-021-21511-x,Improved protein structure refinement guided by deep learning based accuracy estimation
HQGZPJ24,doi:10.1073/pnas.2509329122,De novo design of potent inhibitors of clostridial family toxins
I4NWEQIB,doi:10.1038/s41589-024-01632-2,De novo design of buttressed loops for sculpting protein functions.
I4TMWKAY,doi:10.1101/cshperspect.a041472,Protein Design Using Structure-Prediction Networks: AlphaFold and RoseTTAFold as Protein Structure Foundation Models.
I5Y8PLCF,doi:10.1021/acs.jmedchem.5c03115,A Bispecific Peptide-Drug Conjugate Targeting LAG-3 and PD-L1 Harnesses Antitumor Immunity of Macrophages and T Cells.
IM8ZGH2J,doi:10.1002/pro.3974,Computational design of mixed chirality peptide macrocycles with internal symmetry
ISK2ADZE,doi:10.1038/s41467-026-71345-8,De novo design of a macrocycle-induced dimerization system for cellular control.
IWL6JF53,doi:10.1038/s41929-025-01436-0,De novo design and evolution of an artificial metathase for cytoplasmic olefin metathesis.
J2UV4MKH,doi:10.1126/science.aaw6718,Protein interaction networks revealed by proteome coevolution
J3JZ9BT9,doi:10.1002/adma.202500872,De Novo Design of Integrin α5β1 Modulating Proteins to Enhance Biomaterial Properties
J7NRA6P4,doi:10.1101/2021.03.01.433110,Ultrapotent miniproteins targeting the receptor-binding domain protect against SARS-CoV-2 infection and disease in mice.
J82ZJLJX,doi:10.1021/acscatal.1c01097,Isolating Conformers to Assess Dynamics of Peptidic Catalysts Using Computationally Designed Macrocyclic Peptides.
J9K6MA2K,doi:10.1038/s41586-019-1274-4,De novo protein design by citizen scientists
JJCQ4BNT,doi:10.1126/sciimmunol.adx1582,Design of a potent interleukin-21 mimic for cancer immunotherapy
JREM7982,doi:10.1093/protein/gzy031,Unintended specificity of an engineered ligand-binding protein facilitated by unpredicted plasticity of the protein fold
JVVPFZRS,doi:10.1038/s41594-023-01112-6,Hallucination of closed repeat proteins containing central pockets
JXHRFKNA,doi:10.1073/pnas.2113400119,De novo design of protein homodimers containing tunable symmetric protein pockets
JZWGN28G,doi:10.1038/s41594-019-0224-z,Receptor subtype discrimination using extensive shape complementary designed interfaces
K2D4I2DA,doi:10.7554/elife.57659,Tailored design of protein nanoparticle scaffolds for multivalent presentation of viral glycoprotein antigens
KFA2WRGI,doi:10.64898/2026.03.05.709893,Miniprotein inhibitors of the Staphylococcus aureus efflux transporter NorA.
KJ7PVXZH,doi:10.1016/j.bbcan.2025.189351,VISTA as a context-dependent immune checkpoint: Implications for tumor immunity and autoimmune pathogenesis.
L28Q59IU,doi:10.1038/s41586-020-2646-5,Computational design of transmembrane pores
LACT4CMY,doi:10.1073/pnas.1719115115,Protein homology model refinement by large-scale energy optimization
LAPNCZPJ,doi:10.1038/s41586-023-05696-3,De novo design of luciferases using deep learning.
LBWI3VJ6,doi:10.1021/acs.biochem.2c00497,Design of Diverse Asymmetric Pockets in Homo-oligomeric Proteins
LKFHUQSH,doi:10.1101/2023.12.20.572602,De novo design of diverse small molecule binders and sensors using Shape Complementary Pseudocycles.
LPNKDE2I,doi:10.1016/j.celbio.2025.100239,Stimuli-triggered formation of de novo-designed protein biomaterials.
LQED22TC,doi:10.1021/jacs.3c10941,"Improving Protein Expression, Stability, and Function with ProteinMPNN."
LVUGPQ4P,doi:10.1002/prot.26197,Protein oligomer modeling guided by predicted interchain contacts in CASP14
M8QKBBUL,doi:10.1002/anie.202516058,De Novo Design of High-Affinity Miniprotein Binders Targeting Francisella Tularensis Virulence Factor.
M9NUF8F8,doi:10.1038/s41467-023-43608-1,Directing polymorph specific calcium carbonate formation with de novo protein templates
MH4P5GRY,doi:10.1038/s41586-018-0802-y,Programmable design of orthogonal protein heterodimers
MHSB4REK,doi:10.1016/j.xcrm.2025.102568,Design of a bispecific peptide-nanozyme conjugate for cancer immunotherapy.
MY9IUA7W,doi:10.1016/j.chembiol.2025.01.006,De novo designed Hsp70 activator dissolves intracellular condensates.
N3XXZMMV,doi:10.1101/2024.06.21.600123,De Novo Design of Integrin α5β1 Modulating Proteins for Regenerative Medicine.
NGYZXBAP,doi:10.1038/s41467-025-56369-w,De novo design of protein minibinder agonists of TLR3.
NH9VLJWM,doi:10.1021/acsnano.3c09871,Self-Metallized Whole Cell Vaccines Prepared by Microfluidics for Bioorthogonally Catalyzed Antitumor Immunotherapy.
P2R4IJPJ,doi:10.1038/s41467-022-29210-x,De novo design and directed folding of disulfide-bridged peptide heterodimers.
P7DSJ8TH,doi:10.1038/s41467-025-67866-3,Improved protein binder design using β-pairing targeted RFdiffusion
PK4KKT94,doi:10.1007/s00262-025-03955-y,Chidamide functions as a VISTA/PSGL-1 blocker for cancer immunotherapy.
PVC2QL5P,doi:10.1038/s41586-025-09549-z,Design of facilitated dissociation enables timing of cytokine signalling
PWZPH86J,doi:10.1016/j.jconrel.2026.114645,Development of a lymph node-homing peptide vaccine targeting C-C chemokine receptor 7-positive dendritic cells with enhanced antitumor immunity.
PX5M8PXX,doi:10.1002/cbic.202400857,Self-assembled Palmitic Acid-modified Thymopentin Functions as a Delivery System of Nanovaccine for Cancer Immunotherapy.
PY9PKR5L,doi:10.1016/bs.mcb.2024.07.006,In vitro screening methods of novel immune checkpoint inhibitors related to T cell infiltration and anti-PD-1 resistance.
Q3NYMC34,doi:10.1101/2024.10.11.617872,Bond-centric modular design of protein assemblies
Q8J4JIN9,doi:10.1101/2025.10.01.679929,De novo design of RNA and nucleoprotein complexes.
QTWI6RHE,doi:10.1038/s41586-024-08360-6,Hierarchical design of pseudosymmetric protein nanocages.
R2DB93TT,doi:10.1002/prot.25784,High-accuracy refinement using Rosetta in CASP13
R3EZD22Q,doi:10.1016/j.chembiol.2026.02.008,De novo design of Ras isoform selective binders
R8KENC2A,doi:10.1126/science.adf6591,Top-down design of protein architectures with reinforcement learning
RA7D9T6L,doi:10.1038/s41467-021-23609-8,Anchor extension: a structure-guided approach to design cyclic peptides targeting enzyme active sites
RDUHAYZB,doi:10.1038/s41586-026-10554-z,Design of one-component quasisymmetric protein nanocages.
RJGSLGYB,doi:10.1021/jacs.5c17801,An Engineered Nanovesicles-Based Lysosome-Targeting Protein Degradation Platform (NV-TACs) for Cancer Immunotherapy.
RJHPH4ME,doi:10.21203/rs.3.rs-7951484/v1,De Novo Design of Miniprotein Inhibitors of Bacterial Adhesins.
RLDFDXIX,doi:10.1126/science.adk1687,Expansive discovery of chemically diverse structured macrocyclic oligoamides.
RPHQPB44,doi:10.1038/s41586-024-07814-1,Four-component protein nanocages designed by programmed symmetry breaking.
RRUX76EG,doi:10.1126/sciadv.adt4170,Computational design of potent and selective binders of BAK and BAX
RXFRX2QE,doi:10.1038/s41586-020-03120-8,Design of biologically active binary protein 2D materials
S3IVE7ZZ,doi:10.1021/jacs.6c00732,De Novo Design of Miniature and Efficient Metallo-Ketoreductases.
SAQV7GF5,doi:10.1038/s41586-019-1432-8,De novo design of bioactive protein switches
SEATZZZ7,doi:10.1002/prot.26194,Protein tertiary structure prediction and refinement using deep learning and Rosetta in CASP14
SGHIG7HL,doi:10.1038/s41467-021-24050-7,Role of backbone strain in de novo design of complex α/β protein structures.
SMTJLPSN,doi:10.1038/s41586-025-09646-z,Bottom-up design of Ca channels from defined selectivity filter geometry
SQXEI5MC,doi:10.1126/science.abm1183,Computational design of mechanically coupled axle-rotor protein assemblies
SZCZI42G,doi:10.1126/science.abm4805,Computed structures of core eukaryotic protein complexes
T2M6L289,doi:10.1101/2025.09.18.676967,De novo Design of All-atom Biomolecular Interactions with RFdiffusion3.
T3A5X8GK,doi:10.1101/2025.11.19.689381,Targeting peptide-MHC complexes with designed T cell receptors and antibodies.
T8NDTAKI,doi:10.1038/s41467-023-41272-z,De novo design of highly selective miniprotein inhibitors of integrins αvβ6 and αvβ8
T9JGHDGF,doi:10.1073/pnas.2505932123,Design of solubly expressed miniaturized SMART MHCs
TDHBNYT6,doi:10.21203/rs.3.rs-2736786/v1,De novo design of energy transfer proteins housing excitonically coupled chlorophyll special pairs.
TGCDG3AM,doi:10.1038/s41467-025-56648-6,A covalent peptide-based lysosome-targeting protein degradation platform for cancer immunotherapy.
TIABHKIH,doi:10.1039/d1sm00645b,Alignment of Au nanorods along de novo designed protein nanofibers studied with automated image analysis.
TK6NZY5N,doi:10.1038/s41557-023-01314-x,Precisely patterned nanofibres made from extendable protein multiplexes
TLAZ585U,doi:10.1038/s41586-026-10656-8,De novo design of miniproteins targeting GPCRs
TLELFPZQ,doi:10.1021/acsnano.4c11317,"Water, Solute, and Ion Transport in De Novo-Designed Membrane Protein Channels."
TPR3JY6N,doi:10.1038/s41586-026-10328-7,"The past, present and future of de novo protein design"
TRHRJ63E,doi:10.1126/science.adg7731,Design of stimulus-responsive two-state hinge proteins
TSYXKAZ7,doi:10.1038/s41586-023-05909-9,De novo design of modular peptide-binding proteins by superhelical matching
TTMUJKYY,doi:10.1016/j.cell.2024.05.052,Preclinical proof of principle for orally delivered Th17 antagonist miniproteins.
TU6JIUEB,doi:10.1038/s41467-026-69741-1,CF2H: a cell-free two-hybrid platform for rapid protein binder screening.
TWE54WJN,doi:10.1002/pro.3588,What has de novo protein design taught us about protein folding and biophysics?
U474Q9Y4,doi:10.1038/s41586-021-03331-7,Author Correction: Design of biologically active binary protein 2D materials
U4P5HL9X,doi:10.1002/pro.3757,A computational method for design of connected catalytic networks in proteins
UDDDL9MR,doi:10.1073/pnas.1914677117,Improved protein structure prediction using predicted interresidue orientations
USCWCCY2,doi:10.1007/s00262-025-03995-4,A novel peptide targeting CCR7 inhibits tumor cell lymph node metastasis.
UUV8F3MN,doi:10.1038/s41586-018-0830-7,De novo design of potent and selective mimics of IL-2 and IL-15
UVABFMSH,doi:10.1101/2024.06.24.600095,De novo design of metal-oxide templating proteins.
V4WCYRJE,doi:10.1038/s41586-021-04184-w,De novo protein design by deep network hallucination
V86BEDVW,doi:10.1038/s41589-024-01626-0,De novo design of proteins housing excitonically coupled chlorophyll special pairs.
VM9TWLAJ,doi:10.1126/science.abj7662,Reconfigurable asymmetric protein assemblies through implicit negative design
VMCZ2FH2,doi:10.7554/elife.47839,De novo design of a homo-trimeric amantadine-binding protein
VN9MCRZQ,doi:10.1073/pnas.2015037118,Generation of ordered protein assemblies using rigid three-body fusion
VRALMZMT,doi:10.1073/pnas.1914808117,Computational design of closely related proteins that adopt two well-defined but structurally divergent folds
VZFT998J,doi:10.1101/2025.03.26.645066,De novo design of inducibly assembling multi-component filaments.
W652KSCI,doi:10.1126/science.abd9994,Designed proteins assemble antibodies into modular nanocages
W8INIFY8,doi:10.1371/journal.pcbi.1010680,Fast and versatile sequence-independent protein docking for nanomaterials design using RPXDock
WBNUBQK2,doi:10.1038/s41592-021-01360-8,Deep learning and protein structure modeling
WDINVTS7,doi:10.1038/s41586-023-06953-1,De novo design of high-affinity binders of bioactive helical peptides
WJ37PRMJ,doi:10.1101/2023.09.18.558356,designed Hsp70 activator dissolves intracellular condensates
WKZJ5DT6,doi:10.1126/science.aau3775,De novo design of self-assembling helical protein filaments
WN7M4B27,doi:10.1038/s41467-026-70953-8,Small-molecule binding and sensing with a designed protein family.
WNCE86QZ,doi:10.1073/pnas.2309457121,De novo design of modular protein hydrogels with programmable intra- and extracellular viscoelasticity
WVAEZ7AD,doi:10.1021/acs.chemmater.2c02597,Exploration of Structured Symmetric Cyclic Peptides as Ligands for Metal-Organic Frameworks
WW9VZDGL,doi:10.1101/2024.08.08.606885,A pan-variant miniprotein inhibitor protects against SARS-CoV-2 variants.
WYI7ITKP,doi:10.1016/j.celrep.2025.115760,Designed miniproteins potently inhibit and protect against MERS-CoV
WZYRT8LV,doi:10.1016/j.jconrel.2025.114416,An oral vaccine based on stable peptide-chitosan conjugate targeting DEC-205 for cancer immunotherapy.
X2QUYN23,doi:10.1038/s41586-019-1361-6,Controlling protein assembly on inorganic crystals through designed protein interfaces
X2WDB7PZ,doi:10.1002/pro.4769,De novo design of monomeric helical bundles for pH-controlled membrane lysis
X4SWRR96,doi:10.1101/2025.09.29.678898,De novo design of phospho-tyrosine peptide binders.
X6VNWJ62,doi:10.1002/advs.202501815,DON-Loaded Nanodrug-T Cell Conjugates With PD-L1 Blockade for Solid Tumor Therapy.
XDF4TI4Q,doi:10.1016/j.cell.2022.07.019,Accurate de novo design of membrane-traversing macrocycles.
XDY4ECQH,doi:10.1016/j.chom.2021.06.008,Ultrapotent miniproteins targeting the SARS-CoV-2 receptor-binding domain protect against infection and disease.
XG67H6IB,doi:10.1371/journal.pcbi.1008061,Protein sequence optimization with a pairwise decomposable penalty for buried unsatisfied hydrogen bonds
XGT9I3DP,doi:10.1073/pnas.2314646121,Rapid and automated design of two-component protein nanomaterials using ProteinMPNN.
XH32ZTFL,doi:10.1038/s41563-023-01683-1,Accurate computational design of three-dimensional protein crystals
XJ62B8NC,doi:10.1126/science.abc8182,De novo design of transmembrane β barrels
XJLQYB52,doi:10.1073/pnas.2220380120,De novo designed ice-binding proteins from twist-constrained helices.
XLR5CG5Z,doi:10.1038/s41467-021-22276-z,Design of multi-scale protein complexes by hierarchical building block fusion
XW4II88W,doi:10.1038/s41467-020-18911-w,Incorporation of sensing modalities into de novo designed fluorescence-activating proteins
XW7CT4FH,doi:10.1038/s41565-024-01641-1,De novo design of pH-responsive self-assembling helical protein filaments.
XW7ZG6AK,doi:10.1038/s41594-018-0141-6,De novo design of a non-local β-sheet protein with high stability and accuracy
XWIYQIZZ,doi:10.1016/j.molcel.2025.09.020,Tuning insulin receptor signaling using de novo-designed agonists
XXBKHTEM,doi:10.1021/jacs.5c16108,Design of Peptide Masks Enables Rapid Generation of Conditionally-Active Miniprotein Binders
XXL3P244,doi:10.1021/acs.nanolett.4c06123,Development of a Cascade-Targeting Oral Vaccine via Glycoprotein 2 on Intestinal Microfold Cells for Cancer Immunotherapy.
Y2MGZAWF,doi:10.1038/s41586-024-08393-x,De novo designed proteins neutralize lethal snake venom toxins
Y8BL77SH,doi:10.1371/journal.ppat.1008665,"Structural and functional evaluation of de novo-designed, two-component nanoparticle carriers for HIV Env trimer immunogens."
YBMNAF6Y,doi:10.1073/pnas.2102164118,Computational design of a synthetic PD-1 agonist
YCLS2HDQ,doi:10.1073/pnas.2012800118,Computationally designed peptide macrocycle inhibitors of New Delhi metallo-β-lactamase 1
YF97VBLS,doi:10.1038/s41594-021-00649-8,De Novo Design of Tyrosine and Serine Kinase Drive Protein Switches
YLUY6TLB,doi:10.1038/s41592-025-02886-x,CELLECT: contrastive embedding learning for large-scale efficient cell tracking.
YV7AF4F7,doi:10.1186/s12915-025-02132-y,Identification of Epinastine as CD96/PVR inhibitor for cancer immunotherapy.
YXRS6D6E,doi:10.1038/s41467-022-33004-6,De novo design of immunoglobulin-like domains.
ZAP5HNNJ,doi:10.1126/science.aav7897,"De novo design of tunable, pH-driven conformational changes"
ZMC5LDDE,doi:10.1021/acs.jpcb.0c09888,The Role of Configurational Entropy in Miniprotein Stability.
ZRRVA528,doi:10.1038/s41586-026-10464-0,De novo design of quasisymmetric two-component protein cages
ZXYYB6I2,doi:10.1073/pnas.2005412117,An enumerative algorithm for de novo design of proteins with diverse pocket structures
ZZKDUYTL,doi:10.1038/s41594-022-00879-4,De novo design of obligate ABC-type heterotrimeric proteins
