zotero_key	bibtex_key	title
EF2T9FF2	zhao_proteinpeptide_2025	Protein–peptide docking with a rational and accurate diffusion generative model
EFFY5WSW	qian_bispecific_2026	A Bispecific Peptide-Drug Conjugate Targeting LAG-3 and PD-L1 Harnesses Antitumor Immunity of Macrophages and T Cells.
EFSYJFZZ	liu_design_2025	Design of high-specificity binders for peptide–MHC-I complexes
EG9TVYKR	jiao_pd-l1_2022	A PD-L1 and VEGFR2 dual targeted peptide and its combination with irradiation for cancer immunotherapy
EH59NIH7	xiao_engineered_2026	An Engineered Nanovesicles-Based Lysosome-Targeting Protein Degradation Platform (NV-TACs) for Cancer Immunotherapy.
EHUEQYXK	anishchenko_i_novo_2021	De novo protein design by deep network hallucination
ELKFLLVU	case_jb_ultrapotent_2021	Ultrapotent miniproteins targeting the receptor-binding domain protect against SARS-CoV-2 infection and disease in mice.
EMVI3MCB	shen_h_novo_2025	De novo design of inducibly assembling multi-component filaments.
EN3TNHYU	xie_targeting_2025	Targeting FOXM1 condensates reduces breast tumour growth and metastasis
EQUWMUNI	zhang_identification_2025	Identification of Epinastine as CD96/PVR inhibitor for cancer immunotherapy.
ERFWX4FY	machine_learning_small_molecules_enzymes_anishchenko_i_modeling_2025	Modeling protein-small molecule conformational ensembles with PLACER
ERTFQCNK	chowdhury_single-sequence_2022	Single-sequence protein structure prediction using a language model and deep learning
ET7FKSI5	lyu_identification_2021	Identification of Phelligridin-Based Compounds as Novel Human CD73 Inhibitors.
EW0UQWVO	fang_knowledge_2023	Knowledge graph-enhanced molecular contrastive learning with functional prompt
EZ4E74LB	sui_integrative_2023	Integrative analysis of bulk and single-cell gene expression profiles to identify tumor-associated macrophage-derived CCL18 as a therapeutic target of esophageal squamous cell carcinoma.
F44R6C9X	chang_blocking_2015	Blocking of the PD-1/PD-L1 Interaction by a D-Peptide Antagonist for Cancer Immunotherapy
F5F5TQPE	chen_self-assembled_2025	Self-assembled Palmitic Acid-modified Thymopentin Functions as a Delivery System of Nanovaccine for Cancer Immunotherapy.
F6R4XSH8	zhu_dual_2018	The dual effects of a novel peptibody on angiogenesis inhibition and M2 macrophage polarization on sarcoma.
F6UUSFKY	brunette_tj_modular_2020	Modular repeat protein sculpting using rigid helical junctions
F730GVN3	kacen_post-translational_2023	Post-translational modifications reshape the antigenic landscape of the MHC I immunopeptidome in tumors
FC5AP2TC	wei_ky_computational_2020	Computational design of closely related proteins that adopt two well-defined but structurally divergent folds
FD2Q5R6Z	ragotte_rj_designed_2025	Designed miniproteins potently inhibit and protect against MERS-CoV
FEZDZKQW	an_l_novo_2023	De novo design of diverse small molecule binders and sensors using Shape Complementary Pseudocycles.
FF4V8LYV	passaro_boltz-2_2025	Boltz-2: Towards Accurate and Efficient Binding Affinity Prediction
FFXHBHGQ	zhang_advances_2025	Advances in cancer immunotherapy: historical perspectives, current developments, and future directions
FJBRZKRX	rettie_accurate_2025	Accurate de novo design of high-affinity protein-binding macrocycles using deep learning
FLPPWOLK	jiang_pharmacophoric-constrained_2023	Pharmacophoric-constrained heterogeneous graph transformer model for molecular property prediction
FLY7ANYZ	advani_cd47_2018	CD47 Blockade by Hu5F9-G4 and Rituximab in Non-Hodgkin's Lymphoma
FMBIDNCY	li_4-hydroxyisoleucine_2022	4-Hydroxyisoleucine inhibits tumor growth by triggering endoplasmic reticulum stress and autophagy.
FN3ANCL8	madani_large_2023	Large language models generate functional protein sequences across diverse families
FQX2XTJ7	wang_intelligent_2022	Intelligent Biomimetic Nanoplatform for Systemic Treatment of Metastatic Triple-Negative Breast Cancer via Enhanced EGFR-Targeted Therapy and Immunotherapy.
FRFY0EFS	hudson_can_2023	Can we predict T cell specificity with digital biology and machine learning?
FUGDHA4D	koga_n_role_2021	Role of backbone strain in de novo design of complex α/β protein structures.
FWD7WL66	zhao_tryptophan_2021	Tryptophan 2,3-dioxygenase 2 controls M2 macrophages polarization to promote esophageal squamous cell carcinoma progression via AKT/GSK3beta/IL-8 signaling pathway
G3TSIVRB	yang_w_past_2026	The past, present and future of de novo protein design
GFNDHZY7	bethel_np_precisely_2023	Precisely patterned nanofibres made from extendable protein multiplexes
GI4BQLRK	gregorio_ne_stimuli-triggered_2026	Stimuli-triggered formation of de novo-designed protein biomaterials.
GJ4NRYDR	nanoparticles_antibodies_divine_r_designed_2021	Designed proteins assemble antibodies into modular nanocages
GUYZRRBL	minibinders_wang_x_novo_2025	De Novo Design of Integrin α5β1 Modulating Proteins to Enhance Biomaterial Properties
H5YV5GF9	peng_characterizing_2023	Characterizing the interaction conformation between T-cell receptors and epitopes with deep learning
H8EBSP14	he_pdl1binder_2022	PDL1Binder: Identifying programmed cell death ligand 1 binding peptides by incorporating next-generation phage display data and different peptide descriptors
HA4XF84S	shi_screening_2022	Screening and identification of HLA-A2-restricted neoepitopes for immunotherapy of non-microsatellite instability-high colorectal cancer.
HBDBCPWL	wang_x_novo_2024	De Novo Design of Integrin α5β1 Modulating Proteins for Regenerative Medicine.
HBJNMSLD	edin_muratspahic_novo_2026	De novo design of miniproteins targeting GPCRs
HFJQ8R9Y	zhai_artificial_2025	Artificial intelligence in peptide-based drug design
HGHY6ZUY	salveson_pj_expansive_2024	Expansive discovery of chemically diverse structured macrocyclic oligoamides.
HGSUELUX	zhang_jz_novo_2026	De novo design of Ras isoform selective binders
HHPV1WW7	rettie_cyclic_2023	Cyclic peptide structure prediction and design using AlphaFold
HLD229NR	praetorius_f_design_2023	Design of stimulus-responsive two-state hinge proteins
HRRL9NWY	zou_z_novo_2025	De novo design and evolution of an artificial metathase for cytoplasmic olefin metathesis.
HS5W34PU	baek_m_protein_2021	Protein oligomer modeling guided by predicted interchain contacts in CASP14
I0RABXHY	hellinger_peptidomics_2023	Peptidomics
I6ESBC7D	ellrott_classification_2025	Classification of non-TCGA cancer samples to TCGA molecular subtypes using compact feature sets
IAADWHHA	shunzhi_wang_novo_2026	De novo design of quasisymmetric two-component protein cages
IDIBC3A2	harkos_using_2025	Using mathematical modelling and AI to improve delivery and efficacy of therapies in cancer
IFCTGJ74	bhardwaj_g_accurate_2022	Accurate de novo design of membrane-traversing macrocycles.
IQDDE7T6	methods_nanoparticles_lab-led_sheffler_w_fast_2023	Fast and versatile sequence-independent protein docking for nanomaterials design using RPXDock
IT7LQC8S	misc_methods_rosetta_boyken_se_novo_2019	De novo design of tunable, pH-driven conformational changes
IVXFZTJV	zhou_repositioning_2020	Repositioning liothyronine for cancer immunotherapy by blocking the interaction of immune checkpoint TIGIT/PVR.
IYYZPJI4	zhung_3d_2024	3D molecular generative framework for interaction-guided drug design
IZPEWFF6	su_targeted_2023	Targeted Degradation of PD-L1 and Activation of the STING Pathway by Carbon-Dot-Based PROTACs for Cancer Immunotherapy.
J2D3MJUC	jaroszewicz_phage_2022	Phage display and other peptide display technologies
J2HDMTRA	wang_cd47sirp_2020	CD47/SIRPα blocking peptide identification and synergistic effect with irradiation for cancer immunotherapy
J2V7062H	gao_hierarchical_2023	Hierarchical graph learning for protein–protein interaction
J35CSGND	vaccines_nanoparticles_methods_hiv_lab-led_ueda_g_tailored_2020	Tailored design of protein nanoparticle scaffolds for multivalent presentation of viral glycoprotein antigens
J3IJ8MWD	zhao_identification_2021	Identification of novel P2X7R antagonists by using structure-based virtual screening and cell-based assays.
J84H7VNA	nguyen_sequence_2024	Sequence modeling and design from molecular to genome scale with Evo
J8FL29Q2	baek_accurate_2021	Accurate prediction of protein structures and interactions using a three-track neural network
J9YW359B	gupta_design_2022	Design of Protein Segments and Peptides for Binding to Protein Targets
JJSJ8Q9X	favor_a_novo_2025	De novo design of RNA and nucleoprotein complexes.
JL8MQZKQ	chen_design_2026	Design of a bispecific peptide-nanozyme conjugate for cancer immunotherapy.
JWRV5TFH	sahtoe_dd_reconfigurable_2022	Reconfigurable asymmetric protein assemblies through implicit negative design
JXUCNA85	fu_enhancing_2023	Enhancing the anticancer immune response with the assistance of drug repurposing and delivery systems.
K3PIANFG	zhang_universal_2023	A universal framework for accurate and efficient geometric deep learning of molecular systems
K6NUR4XK	du_targeting_2025	Targeting peptide antigens using a multiallelic MHC I-binding system
K7S73OJK	gaudreault_enhanced_2023	Enhanced antibody-antigen structure prediction from molecular docking using AlphaFold2
KE3CUKPW	butterfield_immunotherapy_2024	Immunotherapy combination approaches: mechanisms, biomarkers and clinical observations
KER7KW8G	yaman_my_alignment_2021	Alignment of Au nanorods along de novo designed protein nanofibers studied with automated image analysis.
KFZ8GB8D	rube_prediction_2022	Prediction of protein–ligand binding affinity from sequencing data with interpretable machine learning
KIJKNY8R	gou_engineered_2021	Engineered Nanovaccine Targeting Clec9a+ Dendritic Cells Remarkably Enhances the Cancer Immunotherapy Effects of STING Agonist.
KR8ZJMZ8	jin_tpeppro_2024	TPepPro: a deep learning model for predicting peptide–protein interactions
KSICHDWR	webb_resolving_2025	Resolving spatial subclonal genomic heterogeneity of loss of heterozygosity and extrachromosomal DNA in gliomas
KZKCY6WW	vorobieva_aa_novo_2021	De novo design of transmembrane β barrels
KZZ2WNMF	yu_computing_2023	Computing the relative binding affinity of ligands based on a pairwise binding comparison network
L60X4QOP	ingraham_illuminating_2023	Illuminating protein space with a programmable generative model
L9ATBXPY	cao_surfdock_2025	SurfDock is a surface-informed diffusion generative model for reliable and accurate protein–ligand complex prediction
LBDWP83M	xu_y_novo_2026	De Novo Design of Miniature and Efficient Metallo-Ketoreductases.
LCQPVR9S	zou_structure-based_2025	A structure-based framework for selective inhibitor design and optimization
LGSGY5XH	oeller_sequence-based_2023	Sequence-based prediction of the intrinsic solubility of peptides containing non-natural amino acids
LK9B8PRX	zhai_blocking_2021	Blocking of the PD-1/PD-L1 interaction by a novel cyclic peptide inhibitor for cancer immunotherapy
LM4GSALG	bauer_ms_novo_2025	De novo design of phospho-tyrosine peptide binders.
LN2FGUUS	hosseinzadeh_p_anchor_2021	Anchor extension: a structure-guided approach to design cyclic peptides targeting enzyme active sites
LQU7LV35	yao_s_novo_2022	De novo design and directed folding of disulfide-bridged peptide heterodimers.
LT89UFNQ	goles_peptide-based_2024	Peptide-based drug discovery through artificial intelligence: towards an autonomous design of therapeutic peptides
LW7PLX7X	wu_k_novo_2023	De novo design of modular peptide-binding proteins by superhelical matching
LZ84JVMN	zheng_identification_2024	Identification of a novel DEC-205 binding peptide to develop dendritic cell-targeting nanovaccine for cancer immunotherapy.
M4H2VM3J	machine_learning_anishchenko_i_protein_2021	Protein tertiary structure prediction and refinement using deep learning and Rosetta in CASP14
M4UVCHKU	he_vitro_2024	In vitro screening methods of novel immune checkpoint inhibitors related to T cell infiltration and anti-PD-1 resistance.
MB92X37S	minibinders_minibinders_machine_learning_mpnn_library_selection_sappington_i_improved_2026	Improved protein binder design using β-pairing targeted RFdiffusion
MJQ8V85I	fu_foundation_2025	A foundation model of transcription across human cell types
MS8TJSEY	motmaen_a_targeting_2025	Targeting peptide-MHC complexes with designed T cell receptors and antibodies.
N8HAMELG	lee_s_design_2026	Design of one-component quasisymmetric protein nanocages.
NJEPZ8IT	pan_recent_2021	Recent advance of peptide-based molecules and nonpeptidic small-molecules modulating PD-1/PD-L1 protein-protein interaction or targeting PD-L1 protein degradation
NMY4RLP5	sun_accurate_2024	Accurate de novo design of heterochiral protein–protein interactions
NT34ZVHF	newcombe_stereochemistry_2024	Stereochemistry in the disorder–order continuum of protein interactions
NTNPR4R0	tubiana_scannet_2022	ScanNet: an interpretable geometric deep learning model for structure-based protein binding site prediction
NTTM7PBW	wang_toward_2025	Toward deep learning sequence–structure co-generation for protein design
NUKNC32I	hsia_y_design_2021	Design of multi-scale protein complexes by hierarchical building block fusion
NVR2G4FN	valiente_computational_2021	Computational Design of Potent D-Peptide Inhibitors of SARS-CoV-2
NWMVDKYT	lu_novo_2024	De novo design of drug-binding proteins with predictable binding energy and specificity
OS1QGM61	obrien_laramy_delivering_2023	Delivering on the promise of protein degraders
OWHKZMFS	hekkelman_alphafill_2023	AlphaFill: enriching AlphaFold models with ligands and cofactors
P38U4PND	zhou_novel_2020	A Novel d-Peptide Identified by Mirror-Image Phage Display Blocks TIGIT/PVR for Cancer Immunotherapy
PBKQLKAD	berger_s_computational_2025	Computational design of potent and selective binders of BAK and BAX
PBVDZZF7	song_toward_2024	Toward AI-Driven Digital Organism: Multiscale Foundation Models for Predicting, Simulating and Programming Biology at All Levels
PBZILT7H	pang_development_2026	Development of a lymph node-homing peptide vaccine targeting C-C chemokine receptor 7-positive dendritic cells with enhanced antitumor immunity.
PDABLLTT	estrada_pabon_jd_role_2021	The Role of Configurational Entropy in Miniprotein Stability.
PE42AXJX	abramson_accurate_2024	Accurate structure prediction of biomolecular interactions with AlphaFold 3
PGS4PWCF	ye_building_2023	Building on the backbone of CD47-based therapy in cancer: Combination strategies, mechanisms, and future perspectives
PHCC9Q88	dalseno_cell_2025	Cell death and cancer: Metabolic interconnections
PKFGARA8	niu_identification_2023	Identification and optimization of peptide inhibitors to block VISTA/PSGL-1 interaction for cancer immunotherapy.
PMSDNRAM	dowling_qm_hierarchical_2025	Hierarchical design of pseudosymmetric protein nanocages.
PS8B62KN	liu_identification_2012	Identification of a novel HLA-A2-restricted cytotoxic T lymphocyte epitope from cancer-testis antigen PLAC1 in breast cancer.
PZZKHRDG	akcapinar_computational_2017	Computational approaches for de novo design and redesign of metal-binding sites on proteins
Q559RLP2	gan_network_2023	Network medicine framework reveals generic herb-symptom effectiveness of traditional Chinese medicine
Q7DHRI36	agonists_zhang_jz_designed_2023	designed Hsp70 activator dissolves intracellular condensates
Q82CYIRJ	wang_mvil6_2023	MVIL6: Accurate identification of IL-6-induced peptides using multi-view feature learning
QCD2DXXI	pacesa_bindcraft_2024	BindCraft: one-shot design of functional protein binders
QLSCX6MW	park_j_novo_2019	De novo design of a homo-trimeric amantadine-binding protein
QMCRE3BN	zhou_hemin_2024	Hemin blocks TIGIT/PVR interaction and induces ferroptosis to elicit synergistic effects of cancer immunotherapy.
QNT4CAFU	liu_dendritic_2019	Dendritic Cell Targeting Peptide-Based Nanovaccines for Enhanced Cancer Immunotherapy.
QT8VPS79	berger_s_preclinical_2024	Preclinical proof of principle for orally delivered Th17 antagonist miniproteins.
QTU3CV2H	ennist_nm_novo_2024	De novo design of proteins housing excitonically coupled chlorophyll special pairs.
QYLMPMM6	wang_oral_2026	An oral vaccine based on stable peptide-chitosan conjugate targeting DEC-205 for cancer immunotherapy.
QZX9XTPN	lee_s_four-component_2025	Four-component protein nanocages designed by programmed symmetry breaking.
R0FKH217	chen_dual_2021	Dual Blockade of Lactate/GPR81 and PD-1/PD-L1 Pathways Enhances the Anti-Tumor Effects of Metformin
R6EX4F4F	wu_design_2025	Design of intrinsically disordered region binding proteins
R7J2ZMTF	garton_method_2018	Method to generate highly stable D-amino acid analogs of bioactive helical peptides using a mirror image of the entire PDB
RAJCT3KP	machine_learning_baek_m_deep_2022	Deep learning and protein structure modeling
RCQKUMZR	clark_enhancing_2023	Enhancing antibody affinity through experimental sampling of non-deleterious CDR mutations predicted by machine learning
RDME442W	coassolo_prohormone_2025	Prohormone cleavage prediction uncovers a non-incretin anti-obesity peptide
RE5A5SJP	qi_mirror-image_2024	Mirror-image protein and peptide drug discovery through mirror-image phage display
RGPZWZTE	thafar_affinity2vec_2022	Affinity2Vec: drug-target binding affinity prediction through representation learning, graph mining, and machine learning
RH3JTCFH	liu_diffusing_2025	Diffusing protein binders to intrinsically disordered proteins
RKD929FM	motmaen_peptide-binding_2023	Peptide-binding specificity prediction using fine-tuned protein structure prediction networks
S1T0QATP	kurtzhals_derivatization_2023	Derivatization with fatty acids in peptide and protein drug discovery
S8CDQ8F7	said_my_exploration_2022	Exploration of Structured Symmetric Cyclic Peptides as Ligands for Metal-Organic Frameworks
SI4X7V8P	johansen_novo-designed_2025	De novo-designed pMHC binders facilitate T cell–mediated cytotoxicity toward cancer cells
SMVB78WP	chen_identification_2022	Identification of natural product 3, 5-diiodotyrosine as APOBEC3B inhibitor to prevent somatic mutation accumulation and cancer progression.
SPNSPZM8	chen_identification_2022	Identification of a novel GLUT1 inhibitor with in vitro and in vivo anti-tumor activity.
SVYR8UQJ	atz_geometric_2021	Geometric deep learning on molecular representations
T2O1ECSF	agrawal_benchmarking_2019	Benchmarking of different molecular docking methods for protein-peptide docking
TG4VGFRK	lang_identification_2022	Identification of neoantigens for individualized therapeutic cancer vaccines
TGNQ4DG9	gao_pan-peptide_2023	Pan-Peptide Meta Learning for T-cell receptor–antigen binding recognition
TL6GE8QR	shen_h_novo_2024	De novo design of pH-responsive self-assembling helical protein filaments.
TLA6P7KX	jeong_nanoparticle_2020	Nanoparticle Conjugation Stabilizes and Multimerizes β-Hairpin Peptides To Effectively Target PD-1/PD-L1 β-Sheet-Rich Interfaces
TR7LDPKG	yang_bioorthogonal_2023	Bioorthogonal Reaction-Mediated Tumor-Selective Delivery of CRISPR/Cas9 System for Dual-Targeted Cancer Immunotherapy.
TSFCPTXD	lin_identification_2021	Identification of CTL Epitopes on Efflux Pumps of the ATP-Binding Cassette and the Major Facilitator Superfamily of Mycobacterium tuberculosis.
U2VXH3ID	chen_target_2025	Target sequence-conditioned design of peptide binders using masked language modeling
U4OQOZ8S	katkar_macrophage_2023	Macrophage states: there's a method in the madness
U6WP5CUQ	yang_alphafold2_2023	AlphaFold2 and its applications in the fields of biology and medicine
UFEUDYAU	xie_neoantigens_2023	Neoantigens: promising targets for cancer therapy
UG4YJI6J	kiriyama_d-amino_2016	D-Amino Acids in the Nervous and Endocrine Systems
UIPWC5CR	pacesa_one-shot_2025	One-shot design of functional protein binders with BindCraft
UJ8AGPJ3	zhou_novel_2022	A Novel CTLA-4 affinity peptide for cancer immunotherapy by increasing the integrin αvβ3 targeting.
UKX5E6IB	watson_novo_2023	De novo design of protein structure and function with RFdiffusion
ULVDDJ6Z	guerin_dexdesign_2024	DexDesign: an OSPREY-based algorithm for designing de novo D-peptide inhibitors
UMMZH862	li_knowledge-guided_2023	A knowledge-guided pre-training framework for improving molecular representation learning
UN6R4C6J	dauparas_atomic_2025	Atomic context-conditioned protein sequence design using LigandMPNN
USFCUNU7	chidyausiku_tm_novo_2022	De novo design of immunoglobulin-like domains.
UTT6JQAJ	han_characterization_2020	Characterization of CD103+ CD8+ tissue-resident T cells in esophageal squamous cell carcinoma: may be tumor reactive and resurrected by anti-PD-1 blockade.
UY3XRABU	hu_design_2023	Design of a novel chimeric peptide via dual blockade of CD47/SIRPα and PD-1/PD-L1 for cancer immunotherapy
UYRXX2U2	jumper_highly_2021	Highly accurate protein structure prediction with AlphaFold
V2WLND5M	dauparas_robust_2022	Robust deep learning–based protein sequence design using ProteinMPNN
V4IVL33C	shi_peptide_2023	Peptide vaccine from cancer-testis antigen ODF2 can potentiate the cytotoxic T lymphocyte infiltration through IL-15 in non-MSI-H colorectal cancer.
V6Y5EEZL	zhu_novo_2026	De novo design of binder proteins targeting Helicobacter pylori adhesin BabA
VBFEXRCH	case_jb_ultrapotent_2021	Ultrapotent miniproteins targeting the SARS-CoV-2 receptor-binding domain protect against infection and disease.
VJBXWQV8	agonists_vazquez_torres_s_novo_2025	De novo designed proteins neutralize lethal snake venom toxins
VKKT2HE0	mcdonald_benchmarking_2023	Benchmarking AlphaFold2 on peptide structure prediction
VRMHDQGR	mulligan_vk_computationally_2021	Computationally designed peptide macrocycle inhibitors of New Delhi metallo-β-lactamase 1
VT9D6YHX	wang_x_tuning_2025	Tuning insulin receptor signaling using de novo-designed agonists
VVVIQ9KZ	escobar-rosales_m_design_2025	Design of Peptide Masks Enables Rapid Generation of Conditionally-Active Miniprotein Binders
VYPXG2J7	feng_gene-editable_2023	A Gene-Editable Palladium-Based Bioorthogonal Nanoplatform Facilitates Macrophage Phagocytosis for Tumor Therapy.
VZHBHKKA	lee_gr_small-molecule_2026	Small-molecule binding and sensing with a designed protein family.
WA59C5TI	jiahan_li_full-atom_2024	Full-atom peptide design based on multi-modal flow matching
WDNFGXEN	li_yeast_2024	Yeast surface display technology: Mechanisms, applications, and perspectives
WED6GECA	mirdita_colabfold_2022	ColabFold: making protein folding accessible to all
WGBQ83EI	mastropietro_learning_2023	Learning characteristics of graph neural networks predicting protein–ligand affinities
WKXIMTGE	johnson_induction_2013	Induction of IL-17 and nonclassical T-cell activation by HIV-Tat protein
WQS0BUR5	wang_therapeutic_2022	Therapeutic peptides: current applications and future directions
WRN9AEIG	zhou_computer-aided_2021	Computer-aided design of PVR mutants with enhanced binding affinity to TIGIT.
WUQTVXKM	pyles_h_controlling_2019	Controlling protein assembly on inorganic crystals through designed protein interfaces
WY7FNIEM	li_graph-structured_2025	Graph-structured Small Molecule Drug Discovery Through Deep Learning: Progress, Challenges, and Opportunities
X2ECW56B	hu_evolution_2026	The evolution of computation-driven paradigms in targeted peptide drug design: From predictive modeling to generative AI and clinical translation
X5D2XQC9	zhou_repositioning_2021	Repositioning Azelnidipine as a Dual Inhibitor Targeting CD47/SIRPα and TIGIT/PVR Pathways for Cancer Immuno-Therapy.
X76V8WRA	bryant_evobind_2022	EvoBind: <em>in silico</em> directed evolution of peptide binders with AlphaFold
XKF7KN2B	chen_dual_2018	Dual TGF-β and PD-1 blockade synergistically enhances MAGE-A3-specific CD8+ T cell response in esophageal squamous cell carcinoma.
XPIELSIM	marcos_e_novo_2018	De novo design of a non-local β-sheet protein with high stability and accuracy
XUSU8YGI	wang_peptide_2026	A peptide immunomodulator activates MST1 to expand and stabilize murine and human regulatory T cells for immune tolerance
Y9WEJHE3	fan_assessing_2026	Assessing conformation validity and rationality of deep learning-generated 3D molecules
YBB3PXTB	wu_novel_2017	A Novel Recombinant Multi-Epitope Vaccine Could Induce Specific Cytotoxic T Lymphocyte Response In Vitro and In Vivo.
YIV9AVT4	romero-molina_ppi-affinity_2022	PPI-Affinity: A Web Tool for the Prediction and Optimization of Protein–Peptide and Protein–Protein Binding Affinity
YKPUQAA6	ling_identification_2022	Identification of Immune Subtypes of Esophageal Adenocarcinoma to Predict Prognosis and Immunotherapy Response
Z8PIBUQ3	qin_systems_2025	Systems and synthetic biology for plant natural product pathway elucidation
ZE3W4E7F	wang_scaffolding_2022	Scaffolding protein functional sites using deep learning
ZE4MK59G	shen_discovery_2023	Discovery of a novel dual-targeting D-peptide to block CD24/Siglec-10 and PD-1/PD-L1 interaction and synergize with radiotherapy for cancer immunotherapy
ZEFTQC3C	zhao_identification_2022	Identification of Novel CD39 Inhibitors Based on Virtual Screening and Enzymatic Assays.
ZF7F5FXN	sadri_is_2023	Is Target-Based Drug Discovery Efficient? Discovery and “Off-Target” Mechanisms of All Drugs
ZHFA9A2E	zhai_novel_2020	A novel cyclic peptide targeting LAG-3 for cancer immunotherapy by activating antigen-specific CD8+ T cell responses
ZHT8LPD6	yang_fish_2024	Fish oil-based microemulsion can efficiently deliver oral peptide blocking PD-1/PD-L1 and simultaneously induce ferroptosis for cancer immunotherapy.
ZWHMJEXJ	mardikoraem_generative_2023	Generative models for protein sequence modeling: recent advances and future directions
ZYFCZKMH	ahern_atom_2025	Atom level enzyme active site scaffolding using RFdiffusion2
ZYXEHKID	childs_cck_2025	CCK * (Convex Closure K *): A Suite of Algorithms for the De Novo Design of L- and D-peptide Binders
